half_life,carry,horizon,model,margin_rmse,total_rmse,n,score
4,0.4,final,B_qb,13.468156642374767,13.50885132503204,821,13.488503983703403
4,0.4,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
4,0.4,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
4,0.4,early,B_qb,13.58413411519922,13.65645342671634,821,13.62029377095778
4,0.4,final,B_qb_inj,13.474476047542376,13.48906427908476,821,13.481770163313568
4,0.6,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
4,0.6,final,B_qb_inj,13.451619954469264,13.487520603218917,821,13.46957027884409
4,0.6,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
4,0.6,final,B_qb,13.445714187527638,13.507959028138798,821,13.476836607833217
4,0.6,early,B_qb,13.562953796076634,13.657053413878707,821,13.61000360497767
4,0.8,early,B_qb,13.551684753887521,13.660373822324857,821,13.606029288106189
4,0.8,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
4,0.8,final,B_qb,13.432739896732036,13.509439717769123,821,13.471089807250578
4,0.8,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
4,0.8,final,B_qb_inj,13.438276994079027,13.488235676569447,821,13.463256335324237
6,0.4,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
6,0.4,final,B_qb,13.397840052161435,13.504040446047343,821,13.450940249104388
6,0.4,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
6,0.4,final,B_qb_inj,13.402080366351539,13.483665815910586,821,13.442873091131062
6,0.4,early,B_qb,13.514950722431456,13.657361824272717,821,13.586156273352087
6,0.6,final,B_qb,13.37287170260147,13.504254509477613,821,13.438563106039542
6,0.6,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
6,0.6,final,B_qb_inj,13.376158403513097,13.482896248507636,821,13.429527326010366
6,0.6,early,B_qb,13.492116279888345,13.661096788474902,821,13.576606534181623
6,0.6,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
6,0.8,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
6,0.8,early,B_qb,13.483113337013602,13.669679208219444,821,13.576396272616524
6,0.8,final,B_qb,13.361643861774988,13.5093084812073,821,13.435476171491144
6,0.8,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
6,0.8,final,B_qb_inj,13.364128074586917,13.48688804058281,821,13.425508057584864
8,0.4,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
8,0.4,final,B_qb,13.362711002378434,13.500525122956919,821,13.431618062667678
8,0.4,early,B_qb,13.481481176654924,13.65865237415841,821,13.570066775406666
8,0.4,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
8,0.4,final,B_qb_inj,13.36548213215234,13.479579542747317,821,13.422530837449829
8,0.6,final,B_qb,13.34141519493271,13.504743599481058,821,13.423079397206884
8,0.6,early,B_qb,13.462863214373705,13.668155429836037,821,13.565509322104871
